"graphcode","Graph.Title","Y.axis.label","X.axis.label","X.axis.order","Variable","Value","Source"
57,"Opinion On Whether The Olympics In Rio Will Be a Success Or Not","percentage of respondents","success scale","none","Not Sure",19,"https://www.statista.com/statistics/578946/success-of-the-2016-olympics-in-rio/"
58,"Number Of Pets In The United States","number of pets in millions","pet","none","Bird",20.3,"https://www.statista.com/statistics/198095/pets-in-the-united-states-by-type-in-2008/"
58,"Number Of Pets In The United States","number of pets in millions","pet","none","Saltwater fish",18.8,"https://www.statista.com/statistics/198095/pets-in-the-united-states-by-type-in-2008/"
58,"Number Of Pets In The United States","number of pets in millions","pet","none","Small animal",14,"https://www.statista.com/statistics/198095/pets-in-the-united-states-by-type-in-2008/"
58,"Number Of Pets In The United States","number of pets in millions","pet","none","Reptile",9.4,"https://www.statista.com/statistics/198095/pets-in-the-united-states-by-type-in-2008/"
58,"Number Of Pets In The United States","number of pets in millions","pet","none","Horse",7.6,"https://www.statista.com/statistics/198095/pets-in-the-united-states-by-type-in-2008/"
59,"Leading Quick Service Restaurant Chains In The United States","number of units","quick service restaurant","none","Subway",26744,"https://www.statista.com/statistics/242883/quick-service-restaurant-chains-by-number-of-restaurants/"
59,"Leading Quick Service Restaurant Chains In The United States","number of units","quick service restaurant","none","McDonald's",14155,"https://www.statista.com/statistics/242883/quick-service-restaurant-chains-by-number-of-restaurants/"
59,"Leading Quick Service Restaurant Chains In The United States","number of units","quick service restaurant","none","Starbucks",13172,"https://www.statista.com/statistics/242883/quick-service-restaurant-chains-by-number-of-restaurants/"
59,"Leading Quick Service Restaurant Chains In The United States","number of units","quick service restaurant","none","Dunkin' Donuts",8828,"https://www.statista.com/statistics/242883/quick-service-restaurant-chains-by-number-of-restaurants/"
60,"Number Of Families With A Single Mother In The U.S","number of families in thousands","Year","ordered","2016",15581,"https://www.statista.com/statistics/205000/number-of-families-with-a-single-mother-in-the-us/"
60,"Number Of Families With A Single Mother In The U.S","number of families in thousands","Year","ordered","2015",15630,"https://www.statista.com/statistics/205000/number-of-families-with-a-single-mother-in-the-us/"
60,"Number Of Families With A Single Mother In The U.S","number of families in thousands","Year","ordered","2014",15553,"https://www.statista.com/statistics/205000/number-of-families-with-a-single-mother-in-the-us/"
60,"Number Of Families With A Single Mother In The U.S","number of families in thousands","Year","ordered","2013",15195,"https://www.statista.com/statistics/205000/number-of-families-with-a-single-mother-in-the-us/"
61,"Smoking Rates Among Adults In 2015 By U.S. States","percentage of adults who smoke","State","none","Kentucky",25.9,"https://www.statista.com/statistics/261595/us-states-with-highest-smoking-rates-among-adults/"
61,"Smoking Rates Among Adults In 2015 By U.S. States","percentage of adults who smoke","State","none","West Virginia",25.7,"https://www.statista.com/statistics/261595/us-states-with-highest-smoking-rates-among-adults/"
61,"Smoking Rates Among Adults In 2015 By U.S. States","percentage of adults who smoke","State","none","Arkansas",24.9,"https://www.statista.com/statistics/261595/us-states-with-highest-smoking-rates-among-adults/"
61,"Smoking Rates Among Adults In 2015 By U.S. States","percentage of adults who smoke","State","none","Mississippi",22.5,"https://www.statista.com/statistics/261595/us-states-with-highest-smoking-rates-among-adults/"
62,"Instagram Accounts With The Most Followers","millions of followers","Account","none","Instagram",230.62,"https://www.statista.com/statistics/421169/most-followers-instagram/"
62,"Instagram Accounts With The Most Followers","millions of followers","Account","none","Selena Gomez",132.51,NA
62,"Instagram Accounts With The Most Followers","millions of followers","Account","none","Cristiano Ronaldo",118.89,NA
62,"Instagram Accounts With The Most Followers","millions of followers","Account","none","Ariana Grande",116.88,NA
62,"Instagram Accounts With The Most Followers","millions of followers","Account","none","Beyoncé",110.03,NA
63,"Leading Adblockers Used By Consumers","percentage of consumers","Ad Blocker","none","Adblock Plus",31,NA
63,"Leading Adblockers Used By Consumers","percentage of consumers","Ad Blocker","none","AdRemover",10,NA
63,"Leading Adblockers Used By Consumers","percentage of consumers","Ad Blocker","none","Adguard",7,NA
64,"Most Popular Cloud Storage Service Providers","percentage of consumers","Could Storage Service","none","Dropbox",53,NA
64,"Most Popular Cloud Storage Service Providers","percentage of consumers","Could Storage Service","none","Google Drive",45,NA
64,"Most Popular Cloud Storage Service Providers","percentage of consumers","Could Storage Service","none","Apple iCloud",34,NA
64,"Most Popular Cloud Storage Service Providers","percentage of consumers","Could Storage Service","none","Microsoft OneDrive",30,NA
65,"Ipad Users In The United States","millions of users","Year","ordered","2015",78.3,NA
65,"Ipad Users In The United States","millions of users","Year","ordered","2016",79.7,NA
65,"Ipad Users In The United States","millions of users","Year","ordered","2017",80.5,NA
66,"Internet Of Things (Iot) Connected Devices","billions of devices","Year","ordered","2015",15.41,NA
66,"Internet Of Things (Iot) Connected Devices","billions of devices","Year","ordered","2016",17.68,NA
66,"Internet Of Things (Iot) Connected Devices","billions of devices","Year","ordered","2017",20.35,NA
66,"Internet Of Things (Iot) Connected Devices","billions of devices","Year","ordered","2018",23.14,NA
66,"Internet Of Things (Iot) Connected Devices","billions of devices","Year","ordered","2019",26.66,NA
67,"Number Of Active Users Of Fitbit","millions of users","Year","ordered","2012",0.56,NA
67,"Number Of Active Users Of Fitbit","millions of users","Year","ordered","2013",2.57,NA
67,"Number Of Active Users Of Fitbit","millions of users","Year","ordered","2014",6.7,NA
67,"Number Of Active Users Of Fitbit","millions of users","Year","ordered","2015",16.9,NA
67,"Number Of Active Users Of Fitbit","millions of users","Year","ordered","2016",23.24,NA
68,"Most Commonly Owned Smart Home Features","percentage of consumers","Feature","none","Security system",10,NA
68,"Most Commonly Owned Smart Home Features","percentage of consumers","Feature","none","Smart thermostat",9,NA
68,"Most Commonly Owned Smart Home Features","percentage of consumers","Feature","none","Lighting automation",5,NA
68,"Most Commonly Owned Smart Home Features","percentage of consumers","Feature","none","Home theater and entertainment",5,NA
69,"NBA All-Time Points Scored","number of points scored","NBA player","none","Kareem Abdul-Jabbar",38387,NA
69,"NBA All-Time Points Scored","number of points scored","NBA player","none","Karl Malone",36928,NA
69,"NBA All-Time Points Scored","number of points scored","NBA player","none","Kobe Bryant",33643,NA
69,"NBA All-Time Points Scored","number of points scored","NBA player","none","Michael Jordan",32292,NA
69,"NBA All-Time Points Scored","number of points scored","NBA player","none","Wilt Chamberlain",31419,NA
70,"Participation In Running Events","millions of participants","Year","ordered","2011",51.5,NA
70,"Participation In Running Events","millions of participants","Year","ordered","2012",53.2,NA
70,"Participation In Running Events","millions of participants","Year","ordered","2013",54.19,NA
71,"Attendance At Performing Arts Events","attendance in millions","Year","ordered","2009",77.49,NA
71,"Attendance At Performing Arts Events","attendance in millions","Year","ordered","2010",74.98,NA
71,"Attendance At Performing Arts Events","attendance in millions","Year","ordered","2011",77.33,NA
72,"Electric Vehicles In The World","thousands of vehicles","Year","ordered","2014",420,NA
72,"Electric Vehicles In The World","thousands of vehicles","Year","ordered","2015",746,NA
72,"Electric Vehicles In The World","thousands of vehicles","Year","ordered","2016",1209,NA
73,"Countries With The Most Airbnb Listings","thousands of listings","Country","none","United States",660,NA
73,"Countries With The Most Airbnb Listings","thousands of listings","Country","none","France",485,NA
73,"Countries With The Most Airbnb Listings","thousands of listings","Country","none","Italy",340,NA
73,"Countries With The Most Airbnb Listings","thousands of listings","Country","none","Spain",245,NA
73,"Countries With The Most Airbnb Listings","thousands of listings","Country","none","United Kingdom",175,NA
74,"Nike's Revenue Worldwide","millions of dollars","Year","ordered","2010",18324,NA
74,"Nike's Revenue Worldwide","millions of dollars","Year","ordered","2011",20117,NA
74,"Nike's Revenue Worldwide","millions of dollars","Year","ordered","2012",23331,NA
74,"Nike's Revenue Worldwide","millions of dollars","Year","ordered","2013",25313,NA
75,"Magazines In The United States","number of magazines","Year","ordered","2002",5340,NA
75,"Magazines In The United States","number of magazines","Year","ordered","2003",6234,NA
75,"Magazines In The United States","number of magazines","Year","ordered","2004",7188,NA
75,"Magazines In The United States","number of magazines","Year","ordered","2005",6325,NA
75,"Magazines In The United States","number of magazines","Year","ordered","2006",6734,NA
76,"Percentage Of Female Film Directors In Hollywood","percentage","Year","ordered","2015",7.5,NA
76,"Percentage Of Female Film Directors In Hollywood","percentage","Year","ordered","2016",4.2,NA
76,"Percentage Of Female Film Directors In Hollywood","percentage","Year","ordered","2017",7.3,NA
77,"Per Capita Consumption Of Bottled Water","gallons per capita","Country","none","Mexico",67.2,NA
77,"Per Capita Consumption Of Bottled Water","gallons per capita","Country","none","Thailand",56.9,NA
77,"Per Capita Consumption Of Bottled Water","gallons per capita","Country","none","Italy",47.5,NA
77,"Per Capita Consumption Of Bottled Water","gallons per capita","Country","none","United States",39.3,NA
78,"Percentage Of Individuals Who Wear Contact Lenses","percentage","Country","none","Latvia",15,NA
78,"Percentage Of Individuals Who Wear Contact Lenses","percentage","Country","none","Austria",10,NA
78,"Percentage Of Individuals Who Wear Contact Lenses","percentage","Country","none","Poland",7,NA
78,"Percentage Of Individuals Who Wear Contact Lenses","percentage","Country","none","United Kingdom",6,NA
78,"Percentage Of Individuals Who Wear Contact Lenses","percentage","Country","none","Portugal",6,NA
79,"Percentage Of Public Libraries Offering Electronic Resources","percentage","Electronic Resource","none","Colour printers",78,NA
79,"Percentage Of Public Libraries Offering Electronic Resources","percentage","Electronic Resource","none","Scanners",62,NA
79,"Percentage Of Public Libraries Offering Electronic Resources","percentage","Electronic Resource","none","Early learning technologies",45,NA
79,"Percentage Of Public Libraries Offering Electronic Resources","percentage","Electronic Resource","none","Laptops",42,NA
80,"Leading Book Genres","percentage of consumers","Book Genres","none","Mystery, thriller and crime",47,NA
80,"Leading Book Genres","percentage of consumers","Book Genres","none","History",33,NA
80,"Leading Book Genres","percentage of consumers","Book Genres","none","Biographies/memoir",31,NA
80,"Leading Book Genres","percentage of consumers","Book Genres","none","Romance",27,NA
81,"Player Salaries In The NFL By Team","millions of dollars","NFL Team","none","Philadelphia Eagles",249,NA
81,"Player Salaries In The NFL By Team","millions of dollars","NFL Team","none","Denver Broncos",215,NA
81,"Player Salaries In The NFL By Team","millions of dollars","NFL Team","none","Baltimore Ravens",214,NA
81,"Player Salaries In The NFL By Team","millions of dollars","NFL Team","none","New York Giants",211,NA
81,"Player Salaries In The NFL By Team","millions of dollars","NFL Team","none","New York Jets",210,NA
82,"Full Time Daily Newspaper Journalists","number of journalists","Year","ordered","2012",40600,NA
82,"Full Time Daily Newspaper Journalists","number of journalists","Year","ordered","2013",38000,NA
82,"Full Time Daily Newspaper Journalists","number of journalists","Year","ordered","2014",36700,NA
82,"Full Time Daily Newspaper Journalists","number of journalists","Year","ordered","2015",32900,NA
83,"Gross Revenue For Music Tours In North America","millions of dollars","Music Tour","none","U2",176.1,NA
83,"Gross Revenue For Music Tours In North America","millions of dollars","Music Tour","none","Bruno Mars",112.4,NA
83,"Gross Revenue For Music Tours In North America","millions of dollars","Music Tour","none","Metallica",110.3,NA
84,"Smart Meter Installations In The U.S.","thousands of smart meters","State","none","California",12794,NA
84,"Smart Meter Installations In The U.S.","thousands of smart meters","State","none","Texas",9371,NA
84,"Smart Meter Installations In The U.S.","thousands of smart meters","State","none","Pennsylvania",6843,NA
84,"Smart Meter Installations In The U.S.","thousands of smart meters","State","none","Florida",6260,NA
85,"Plans For Halloween Celebrations","percentage of respondents","Plans","none","Hand out candy",53,NA
85,"Plans For Halloween Celebrations","percentage of respondents","Plans","none","Decorate your home/yard",4,NA
85,"Plans For Halloween Celebrations","percentage of respondents","Plans","none","Dress in costume",27,NA
85,"Plans For Halloween Celebrations","percentage of respondents","Plans","none","Take children trick-or-treating",25,NA
86,"Retail Sales By American Retailers","billions of dollars","Retailer","none","The Kroger Co.",110.22,NA
86,"Retail Sales By American Retailers","billions of dollars","Retailer","none","Costco",85.78,NA
86,"Retail Sales By American Retailers","billions of dollars","Retailer","none","The Home Depot",85.09,NA
87,"Target Stores In North America","number of stores","Year","ordered","2008",1682,NA
87,"Target Stores In North America","number of stores","Year","ordered","2009",1740,NA
87,"Target Stores In North America","number of stores","Year","ordered","2010",1750,NA
88,"U.S. Pumpkin Production","thousands of cwt","Year","ordered","2013",11221,NA
88,"U.S. Pumpkin Production","thousands of cwt","Year","ordered","2014",13143,NA
88,"U.S. Pumpkin Production","thousands of cwt","Year","ordered","2015",7538,NA
88,"U.S. Pumpkin Production","thousands of cwt","Year","ordered","2016",16070,NA
89,"Enrollment Of U.S. Medical Schools","number of medical school students","School","none","University of Washington",1022,NA
89,"Enrollment Of U.S. Medical Schools","number of medical school students","School","none","Case Western Reserve University",896,NA
89,"Enrollment Of U.S. Medical Schools","number of medical school students","School","none","University of North Carolina",834,NA
90,"Factors Considered In Deciding Upon A Specific College","percentage of respondents","Factors","none","How much it costs",63,NA
90,"Factors Considered In Deciding Upon A Specific College","percentage of respondents","Factors","none","The offered majors and programs",56,NA
90,"Factors Considered In Deciding Upon A Specific College","percentage of respondents","Factors","none","Availability of financial aid",49,NA
90,"Factors Considered In Deciding Upon A Specific College","percentage of respondents","Factors","none","Location",38,NA
90,"Factors Considered In Deciding Upon A Specific College","percentage of respondents","Factors","none","Average starting salaries for graduates",12,NA
91,"Body Areas Tattooed In The U.S.","percentage of respondents","Body Areas","none","Upper arm",45,NA
91,"Body Areas Tattooed In The U.S.","percentage of respondents","Body Areas","none","Back",34,NA
91,"Body Areas Tattooed In The U.S.","percentage of respondents","Body Areas","none","Forearm",29,NA
91,"Body Areas Tattooed In The U.S.","percentage of respondents","Body Areas","none","Hand/wrist",28,NA
91,"Body Areas Tattooed In The U.S.","percentage of respondents","Body Areas","none","Shoulder",28,NA
92,"Retail Price Of Chicken Legs","dollars per pound","Year","ordered","2015",1.57,NA
92,"Retail Price Of Chicken Legs","dollars per pound","Year","ordered","2016",1.43,NA
92,"Retail Price Of Chicken Legs","dollars per pound","Year","ordered","2017",1.46,NA
93,"Attendance To Amusement Park Chains Worldwide","millions of people","Amusement Park","none","Merlin Entertainments Group",61.2,NA
93,"Attendance To Amusement Park Chains Worldwide","millions of people","Amusement Park","none","Universal Parks and Resorts",47.36,NA
93,"Attendance To Amusement Park Chains Worldwide","millions of people","Amusement Park","none","Oct Parks China",32.27,NA
94,"Disney's Lobbying Expenses","millions of dollars","Year","ordered","2007",4.52,NA
94,"Disney's Lobbying Expenses","millions of dollars","Year","ordered","2008",5.91,NA
94,"Disney's Lobbying Expenses","millions of dollars","Year","ordered","2009",5.06,NA
94,"Disney's Lobbying Expenses","millions of dollars","Year","ordered","2010",3.89,NA
95,"Sales Of Digital Music Albums","thousands of units sold","Album","none","Taylor Swift, Reputation",868,NA
95,"Sales Of Digital Music Albums","thousands of units sold","Album","none","Ed Sheeran, ÷ (Divide)",592,NA
95,"Sales Of Digital Music Albums","thousands of units sold","Album","none","Kendrick Lamar, DAMN.",551,NA
95,"Sales Of Digital Music Albums","thousands of units sold","Album","none","Drake, More Life",360,NA
96,"Flowers Americans Like To Receive On Valentines Day","percentage of respondents","Flower","none","Red roses",22,NA
96,"Flowers Americans Like To Receive On Valentines Day","percentage of respondents","Flower","none","Mixed flowers",10,NA
96,"Flowers Americans Like To Receive On Valentines Day","percentage of respondents","Flower","none","Roses (other colors)",9,NA
96,"Flowers Americans Like To Receive On Valentines Day","percentage of respondents","Flower","none","Carnations",5,NA
97,"U.S. Online Dating Apps","share of respondents","Dating App","none","Tinder",0.256,NA
97,"U.S. Online Dating Apps","share of respondents","Dating App","none","PlentyOfFish",0.194,NA
97,"U.S. Online Dating Apps","share of respondents","Dating App","none","OkCupid",0.1,NA
97,"U.S. Online Dating Apps","share of respondents","Dating App","none","eHarmony",0.091,NA
98,"Running Accessories","percentage of respondents","Accessory","none","Smart phone",59,NA
98,"Running Accessories","percentage of respondents","Accessory","none","Sports watch",51,NA
98,"Running Accessories","percentage of respondents","Accessory","none","GPS item",44,NA
98,"Running Accessories","percentage of respondents","Accessory","none","Sunglasses",44,NA
98,"Running Accessories","percentage of respondents","Accessory","none","Keys",43,NA
99,"Podcast Publishers in the United States","monthly audience in millions","Podcast Publishers","none","NPR",16.37,NA
99,"Podcast Publishers in the United States","monthly audience in millions","Podcast Publishers","none","WNYC Studios",7.43,NA
99,"Podcast Publishers in the United States","monthly audience in millions","Podcast Publishers","none","HowStuffWorks",6.24,NA
100,"Programs Used to Play Podcasts","percentage of respondents","Programs","none","iTunes",33,NA
100,"Programs Used to Play Podcasts","percentage of respondents","Programs","none","Spotify",28,NA
100,"Programs Used to Play Podcasts","percentage of respondents","Programs","none","SoundCloud",25,NA
100,"Programs Used to Play Podcasts","percentage of respondents","Programs","none","TuneIn Radio",13,NA
101,"FIFA World Ranking","ranking points","Country","none","Germany",1602,NA
101,"FIFA World Ranking","ranking points","Country","none","Brazil",1484,NA
101,"FIFA World Ranking","ranking points","Country","none","Portugal",1358,NA
101,"FIFA World Ranking","ranking points","Country","none","Argentina",1348,NA
101,"FIFA World Ranking","ranking points","Country","none","Belgium",1325,NA
102,"Average Back-To-College Expenditure","average expenditure in US dollars","Class year","none","Freshmen",1452,NA
102,"Average Back-To-College Expenditure","average expenditure in US dollars","Class year","none","Junior",1074,NA
102,"Average Back-To-College Expenditure","average expenditure in US dollars","Class year","none","Graduate",1091,NA
103,"Cancellations By Major U.S. Air Carriers","thousands of cancellations","Year","ordered","2008",137.43,NA
103,"Cancellations By Major U.S. Air Carriers","thousands of cancellations","Year","ordered","2009",89.38,NA
103,"Cancellations By Major U.S. Air Carriers","thousands of cancellations","Year","ordered","2010",113.26,NA
103,"Cancellations By Major U.S. Air Carriers","thousands of cancellations","Year","ordered","2011",115.98,NA
103,"Cancellations By Major U.S. Air Carriers","thousands of cancellations","Year","ordered","2012",78.86,NA
