participantID,field,subject_condition,control,truncated,difference,graphliteracy_sum_rating,dem_ed,dem_gender,dem_age,study
s51320,Humanities,no warning,3.55,4.8,1.25,15,8,female,28,Study 5. Humanities
s51321,Humanities,warning,3.7,4.35,0.65,29,8,female,30,Study 5. Humanities
s51322,Humanities,warning,3.2,2.95,-0.25,22,8,female,33,Study 5. Humanities
s51323,Humanities,no warning,4.15,4.55,0.4,42,8,female,35,Study 5. Humanities
s51324,Humanities,warning,3,2.9,-0.1,37,8,female,35,Study 5. Humanities
s51325,Humanities,warning,3.4,3.35,-0.05,41,8,male,31,Study 5. Humanities
s51326,Humanities,no warning,3.35,4.35,1,44,7,female,27,Study 5. Humanities
s51327,Humanities,no warning,4.4,5.1,0.7,44,8,female,32,Study 5. Humanities
s51328,Humanities,warning,2.6,2.7,0.1,16,8,female,30,Study 5. Humanities
s51329,Humanities,warning,3.55,3.45,-0.1,39,8,female,34,Study 5. Humanities
s51330,Humanities,no warning,4.1,3.75,-0.35,37,6,female,26,Study 5. Humanities
