participantID,field,subject_condition,group,graphliteracy_question,rating
s51072,Quantitative,no warning,A,5,4
s51072,Quantitative,no warning,A,6,4
s51072,Quantitative,no warning,A,7,4
s51072,Quantitative,no warning,A,8,5
s51072,Quantitative,no warning,A,9,5
s51072,Quantitative,no warning,A,10,4
s51073,Quantitative,no warning,A,1,5
s51073,Quantitative,no warning,A,2,5
s51073,Quantitative,no warning,A,3,5
s51073,Quantitative,no warning,A,4,4
s51073,Quantitative,no warning,A,5,4
s51073,Quantitative,no warning,A,6,3
s51073,Quantitative,no warning,A,7,6
s51073,Quantitative,no warning,A,8,6
s51073,Quantitative,no warning,A,9,6
s51073,Quantitative,no warning,A,10,6
s51074,Quantitative,warning,A,1,4
s51074,Quantitative,warning,A,2,4
s51074,Quantitative,warning,A,3,4
s51074,Quantitative,warning,A,4,4
s51074,Quantitative,warning,A,5,3
s51074,Quantitative,warning,A,6,3
s51074,Quantitative,warning,A,7,5
s51074,Quantitative,warning,A,8,5
s51074,Quantitative,warning,A,9,4
s51074,Quantitative,warning,A,10,5
s51075,Quantitative,warning,B,1,6
s51075,Quantitative,warning,B,2,6
s51075,Quantitative,warning,B,3,6
s51075,Quantitative,warning,B,4,6
s51075,Quantitative,warning,B,5,6
s51075,Quantitative,warning,B,6,3
s51075,Quantitative,warning,B,7,3
s51075,Quantitative,warning,B,8,5
s51075,Quantitative,warning,B,9,5
s51075,Quantitative,warning,B,10,3
s51076,Quantitative,no warning,B,1,6
s51076,Quantitative,no warning,B,2,6
s51076,Quantitative,no warning,B,3,4
s51076,Quantitative,no warning,B,4,6
s51076,Quantitative,no warning,B,5,6
s51076,Quantitative,no warning,B,6,5
s51076,Quantitative,no warning,B,7,5
s51076,Quantitative,no warning,B,8,6
s51076,Quantitative,no warning,B,9,5
s51076,Quantitative,no warning,B,10,5
s51077,Quantitative,warning,B,1,5
s51077,Quantitative,warning,B,2,4
s51077,Quantitative,warning,B,3,4
s51077,Quantitative,warning,B,4,3
s51077,Quantitative,warning,B,5,4
s51077,Quantitative,warning,B,6,3
s51077,Quantitative,warning,B,7,5
s51077,Quantitative,warning,B,8,6
s51077,Quantitative,warning,B,9,5
s51077,Quantitative,warning,B,10,5
s51078,Quantitative,no warning,B,1,5
s51078,Quantitative,no warning,B,2,5
s51078,Quantitative,no warning,B,3,4
s51078,Quantitative,no warning,B,4,5
s51078,Quantitative,no warning,B,5,5
s51078,Quantitative,no warning,B,6,5
s51078,Quantitative,no warning,B,7,6
s51078,Quantitative,no warning,B,8,6
s51078,Quantitative,no warning,B,9,6
s51078,Quantitative,no warning,B,10,6
s51079,Quantitative,warning,A,1,4
s51079,Quantitative,warning,A,2,4
s51079,Quantitative,warning,A,3,3
s51079,Quantitative,warning,A,4,3
s51079,Quantitative,warning,A,5,4
s51079,Quantitative,warning,A,6,4
s51079,Quantitative,warning,A,7,4
s51079,Quantitative,warning,A,8,5
s51079,Quantitative,warning,A,9,4
s51079,Quantitative,warning,A,10,4
s51080,Quantitative,no warning,A,1,4
s51080,Quantitative,no warning,A,2,5
s51080,Quantitative,no warning,A,3,3
s51080,Quantitative,no warning,A,4,4
s51080,Quantitative,no warning,A,5,5
s51080,Quantitative,no warning,A,6,5
s51080,Quantitative,no warning,A,7,5
s51080,Quantitative,no warning,A,8,4
s51080,Quantitative,no warning,A,9,2
s51080,Quantitative,no warning,A,10,5
s51081,Quantitative,warning,B,1,4
s51081,Quantitative,warning,B,2,3
s51081,Quantitative,warning,B,3,4
s51081,Quantitative,warning,B,4,3
s51081,Quantitative,warning,B,5,4
s51081,Quantitative,warning,B,6,4
s51081,Quantitative,warning,B,7,5
s51081,Quantitative,warning,B,8,5
s51081,Quantitative,warning,B,9,4
s51081,Quantitative,warning,B,10,4
s51082,Quantitative,no warning,A,1,2
s51082,Quantitative,no warning,A,2,2
s51082,Quantitative,no warning,A,3,3
s51082,Quantitative,no warning,A,4,2
s51082,Quantitative,no warning,A,5,2
s51082,Quantitative,no warning,A,6,3
s51082,Quantitative,no warning,A,7,3
s51082,Quantitative,no warning,A,8,3
s51082,Quantitative,no warning,A,9,5
s51082,Quantitative,no warning,A,10,3
s51083,Quantitative,no warning,B,1,6
s51083,Quantitative,no warning,B,2,6
s51083,Quantitative,no warning,B,3,6
s51083,Quantitative,no warning,B,4,6
s51083,Quantitative,no warning,B,5,6
s51083,Quantitative,no warning,B,6,6
s51083,Quantitative,no warning,B,7,5
s51083,Quantitative,no warning,B,8,5
s51083,Quantitative,no warning,B,9,4
s51083,Quantitative,no warning,B,10,5
s51084,Quantitative,no warning,A,1,5
s51084,Quantitative,no warning,A,2,5
s51084,Quantitative,no warning,A,3,5
s51084,Quantitative,no warning,A,4,5
s51084,Quantitative,no warning,A,5,4
s51084,Quantitative,no warning,A,6,3
s51084,Quantitative,no warning,A,7,2
s51084,Quantitative,no warning,A,8,3
s51084,Quantitative,no warning,A,9,2
s51084,Quantitative,no warning,A,10,4
s51085,Quantitative,warning,B,1,6
s51085,Quantitative,warning,B,2,6
s51085,Quantitative,warning,B,3,6
s51085,Quantitative,warning,B,4,5
s51085,Quantitative,warning,B,5,5
s51085,Quantitative,warning,B,6,6
s51085,Quantitative,warning,B,7,5
s51085,Quantitative,warning,B,8,6
s51085,Quantitative,warning,B,9,4
s51085,Quantitative,warning,B,10,4
s51086,Quantitative,no warning,A,1,2
s51086,Quantitative,no warning,A,2,4
s51086,Quantitative,no warning,A,3,2
s51086,Quantitative,no warning,A,4,3
s51086,Quantitative,no warning,A,5,3
s51086,Quantitative,no warning,A,6,2
s51086,Quantitative,no warning,A,7,4
s51086,Quantitative,no warning,A,8,2
s51086,Quantitative,no warning,A,9,6
s51086,Quantitative,no warning,A,10,2
s51087,Quantitative,warning,B,1,4
s51087,Quantitative,warning,B,2,4
s51087,Quantitative,warning,B,3,3
s51087,Quantitative,warning,B,4,4
s51087,Quantitative,warning,B,5,3
s51087,Quantitative,warning,B,6,4
s51087,Quantitative,warning,B,7,3
s51087,Quantitative,warning,B,8,3
s51087,Quantitative,warning,B,9,4
s51087,Quantitative,warning,B,10,4
s51088,Quantitative,no warning,A,1,6
s51088,Quantitative,no warning,A,2,6
s51088,Quantitative,no warning,A,3,6
s51088,Quantitative,no warning,A,4,6
s51088,Quantitative,no warning,A,5,6
s51088,Quantitative,no warning,A,6,6
s51088,Quantitative,no warning,A,7,4
s51088,Quantitative,no warning,A,8,6
s51088,Quantitative,no warning,A,9,5
s51088,Quantitative,no warning,A,10,6
s51089,Quantitative,warning,B,1,5
s51089,Quantitative,warning,B,2,5
s51089,Quantitative,warning,B,3,5
s51089,Quantitative,warning,B,4,5
s51089,Quantitative,warning,B,5,5
s51089,Quantitative,warning,B,6,5
s51089,Quantitative,warning,B,7,4
s51089,Quantitative,warning,B,8,4
s51089,Quantitative,warning,B,9,3
s51089,Quantitative,warning,B,10,4
s51090,Quantitative,no warning,A,1,5
s51090,Quantitative,no warning,A,2,5
s51090,Quantitative,no warning,A,3,4
s51090,Quantitative,no warning,A,4,4
s51090,Quantitative,no warning,A,5,5
s51090,Quantitative,no warning,A,6,5
s51090,Quantitative,no warning,A,7,4
s51090,Quantitative,no warning,A,8,5
s51090,Quantitative,no warning,A,9,3
s51090,Quantitative,no warning,A,10,4
s51091,Quantitative,warning,B,1,4
s51091,Quantitative,warning,B,2,4
s51091,Quantitative,warning,B,3,4
s51091,Quantitative,warning,B,4,4
s51091,Quantitative,warning,B,5,3
s51091,Quantitative,warning,B,6,4
s51091,Quantitative,warning,B,7,4
s51091,Quantitative,warning,B,8,5
s51091,Quantitative,warning,B,9,5
s51091,Quantitative,warning,B,10,5
s51092,Quantitative,no warning,A,1,4
s51092,Quantitative,no warning,A,2,5
s51092,Quantitative,no warning,A,3,6
s51092,Quantitative,no warning,A,4,5
s51092,Quantitative,no warning,A,5,5
s51092,Quantitative,no warning,A,6,6
s51092,Quantitative,no warning,A,7,5
s51092,Quantitative,no warning,A,8,4
s51092,Quantitative,no warning,A,9,5
s51092,Quantitative,no warning,A,10,5
s51093,Quantitative,no warning,B,1,6
s51093,Quantitative,no warning,B,2,6
s51093,Quantitative,no warning,B,3,6
s51093,Quantitative,no warning,B,4,4
s51093,Quantitative,no warning,B,5,5
s51093,Quantitative,no warning,B,6,4
s51093,Quantitative,no warning,B,7,6
s51093,Quantitative,no warning,B,8,6
s51093,Quantitative,no warning,B,9,3
s51093,Quantitative,no warning,B,10,4
s51094,Quantitative,warning,A,1,4
s51094,Quantitative,warning,A,2,4
s51094,Quantitative,warning,A,3,5
s51094,Quantitative,warning,A,4,4
s51094,Quantitative,warning,A,5,4
s51094,Quantitative,warning,A,6,4
s51094,Quantitative,warning,A,7,5
s51094,Quantitative,warning,A,8,5
s51094,Quantitative,warning,A,9,4
s51094,Quantitative,warning,A,10,5
s51095,Quantitative,warning,B,1,4
s51095,Quantitative,warning,B,2,4
s51095,Quantitative,warning,B,3,4
s51095,Quantitative,warning,B,4,4
s51095,Quantitative,warning,B,5,4
s51095,Quantitative,warning,B,6,3
s51095,Quantitative,warning,B,7,5
s51095,Quantitative,warning,B,8,6
s51095,Quantitative,warning,B,9,4
s51095,Quantitative,warning,B,10,5
s51096,Quantitative,no warning,A,1,5
s51096,Quantitative,no warning,A,2,5
s51096,Quantitative,no warning,A,3,4
s51096,Quantitative,no warning,A,4,5
s51096,Quantitative,no warning,A,5,5
s51096,Quantitative,no warning,A,6,5
s51096,Quantitative,no warning,A,7,5
s51096,Quantitative,no warning,A,8,5
s51096,Quantitative,no warning,A,9,6
s51096,Quantitative,no warning,A,10,5
s51097,Quantitative,warning,B,1,5
s51097,Quantitative,warning,B,2,4
s51097,Quantitative,warning,B,3,1
s51097,Quantitative,warning,B,4,5
s51097,Quantitative,warning,B,5,5
s51097,Quantitative,warning,B,6,3
s51097,Quantitative,warning,B,7,5
s51097,Quantitative,warning,B,8,6
s51097,Quantitative,warning,B,9,5
s51097,Quantitative,warning,B,10,6
s51098,Quantitative,no warning,A,1,4
s51098,Quantitative,no warning,A,2,4
s51098,Quantitative,no warning,A,3,4
s51098,Quantitative,no warning,A,4,3
s51098,Quantitative,no warning,A,5,3
s51098,Quantitative,no warning,A,6,3
s51098,Quantitative,no warning,A,7,5
s51098,Quantitative,no warning,A,8,5
s51098,Quantitative,no warning,A,9,3
s51098,Quantitative,no warning,A,10,4
s51099,Quantitative,warning,A,1,4
s51099,Quantitative,warning,A,2,4
s51099,Quantitative,warning,A,3,1
s51099,Quantitative,warning,A,4,4
s51099,Quantitative,warning,A,5,5
s51099,Quantitative,warning,A,6,2
s51099,Quantitative,warning,A,7,5
s51099,Quantitative,warning,A,8,5
s51099,Quantitative,warning,A,9,4
s51099,Quantitative,warning,A,10,4
s51100,Quantitative,no warning,A,1,5
s51100,Quantitative,no warning,A,2,5
s51100,Quantitative,no warning,A,3,4
s51100,Quantitative,no warning,A,4,5
s51100,Quantitative,no warning,A,5,5
s51100,Quantitative,no warning,A,6,5
s51100,Quantitative,no warning,A,7,2
s51100,Quantitative,no warning,A,8,5
s51100,Quantitative,no warning,A,9,4
s51100,Quantitative,no warning,A,10,4
s51101,Quantitative,warning,B,1,6
s51101,Quantitative,warning,B,2,6
s51101,Quantitative,warning,B,3,6
s51101,Quantitative,warning,B,4,6
s51101,Quantitative,warning,B,5,6
s51101,Quantitative,warning,B,6,6
s51101,Quantitative,warning,B,7,5
s51101,Quantitative,warning,B,8,5
s51101,Quantitative,warning,B,9,5
s51101,Quantitative,warning,B,10,5
s51102,Quantitative,warning,B,1,5
s51102,Quantitative,warning,B,2,5
s51102,Quantitative,warning,B,3,6
s51102,Quantitative,warning,B,4,6
s51102,Quantitative,warning,B,5,5
s51102,Quantitative,warning,B,6,5
s51102,Quantitative,warning,B,7,6
s51102,Quantitative,warning,B,8,4
s51102,Quantitative,warning,B,9,3
s51102,Quantitative,warning,B,10,4
s51103,Quantitative,no warning,A,1,5
s51103,Quantitative,no warning,A,2,5
s51103,Quantitative,no warning,A,3,5
s51103,Quantitative,no warning,A,4,5
s51103,Quantitative,no warning,A,5,5
s51103,Quantitative,no warning,A,6,5
s51103,Quantitative,no warning,A,7,3
s51103,Quantitative,no warning,A,8,4
s51103,Quantitative,no warning,A,9,3
s51103,Quantitative,no warning,A,10,4
s51104,Quantitative,no warning,A,1,4
s51104,Quantitative,no warning,A,2,5
s51104,Quantitative,no warning,A,3,3
s51104,Quantitative,no warning,A,4,4
s51104,Quantitative,no warning,A,5,4
s51104,Quantitative,no warning,A,6,4
s51104,Quantitative,no warning,A,7,5
s51104,Quantitative,no warning,A,8,6
s51104,Quantitative,no warning,A,9,6
s51104,Quantitative,no warning,A,10,5
s51105,Quantitative,no warning,A,1,5
s51105,Quantitative,no warning,A,2,4
s51105,Quantitative,no warning,A,3,4
s51105,Quantitative,no warning,A,4,4
s51105,Quantitative,no warning,A,5,4
s51105,Quantitative,no warning,A,6,4
s51105,Quantitative,no warning,A,7,4
s51105,Quantitative,no warning,A,8,6
s51105,Quantitative,no warning,A,9,4
s51105,Quantitative,no warning,A,10,5
s51106,Quantitative,warning,B,1,4
s51106,Quantitative,warning,B,2,4
s51106,Quantitative,warning,B,3,3
s51106,Quantitative,warning,B,4,3
s51106,Quantitative,warning,B,5,3
s51106,Quantitative,warning,B,6,3
s51106,Quantitative,warning,B,7,3
s51106,Quantitative,warning,B,8,4
s51106,Quantitative,warning,B,9,5
s51106,Quantitative,warning,B,10,4
s51107,Quantitative,warning,A,1,3
s51107,Quantitative,warning,A,2,3
s51107,Quantitative,warning,A,3,3
s51107,Quantitative,warning,A,4,3
s51107,Quantitative,warning,A,5,3
s51107,Quantitative,warning,A,6,3
s51107,Quantitative,warning,A,7,4
s51107,Quantitative,warning,A,8,3
s51107,Quantitative,warning,A,9,3
s51107,Quantitative,warning,A,10,4
s51108,Quantitative,warning,A,1,4
s51108,Quantitative,warning,A,2,5
s51108,Quantitative,warning,A,3,3
s51108,Quantitative,warning,A,4,4
s51108,Quantitative,warning,A,5,3
s51108,Quantitative,warning,A,6,4
s51108,Quantitative,warning,A,7,4
s51108,Quantitative,warning,A,8,6
s51108,Quantitative,warning,A,9,4
s51108,Quantitative,warning,A,10,6
s51109,Quantitative,no warning,B,1,6
s51109,Quantitative,no warning,B,2,6
s51109,Quantitative,no warning,B,3,6
s51109,Quantitative,no warning,B,4,6
s51109,Quantitative,no warning,B,5,6
s51109,Quantitative,no warning,B,6,4
s51109,Quantitative,no warning,B,7,4
s51109,Quantitative,no warning,B,8,4
s51109,Quantitative,no warning,B,9,4
s51109,Quantitative,no warning,B,10,4
s51110,Quantitative,warning,B,1,6
s51110,Quantitative,warning,B,2,6
s51110,Quantitative,warning,B,3,6
s51110,Quantitative,warning,B,4,5
s51110,Quantitative,warning,B,5,6
s51110,Quantitative,warning,B,6,6
s51110,Quantitative,warning,B,7,5
s51110,Quantitative,warning,B,8,5
s51110,Quantitative,warning,B,9,4
s51110,Quantitative,warning,B,10,5
s51111,Quantitative,no warning,A,1,4
s51111,Quantitative,no warning,A,2,4
s51111,Quantitative,no warning,A,3,4
s51111,Quantitative,no warning,A,4,5
s51111,Quantitative,no warning,A,5,4
s51111,Quantitative,no warning,A,6,4
s51111,Quantitative,no warning,A,7,5
s51111,Quantitative,no warning,A,8,5
s51111,Quantitative,no warning,A,9,3
s51111,Quantitative,no warning,A,10,5
s51112,Quantitative,warning,B,1,5
s51112,Quantitative,warning,B,2,5
s51112,Quantitative,warning,B,3,4
s51112,Quantitative,warning,B,4,5
s51112,Quantitative,warning,B,5,5
s51112,Quantitative,warning,B,6,5
s51112,Quantitative,warning,B,7,4
s51112,Quantitative,warning,B,8,5
s51112,Quantitative,warning,B,9,5
s51112,Quantitative,warning,B,10,5
s51113,Quantitative,no warning,A,1,5
s51113,Quantitative,no warning,A,2,5
s51113,Quantitative,no warning,A,3,4
s51113,Quantitative,no warning,A,4,5
s51113,Quantitative,no warning,A,5,5
s51113,Quantitative,no warning,A,6,6
s51113,Quantitative,no warning,A,7,6
s51113,Quantitative,no warning,A,8,6
s51113,Quantitative,no warning,A,9,6
s51113,Quantitative,no warning,A,10,6
s51114,Quantitative,no warning,B,1,5
s51114,Quantitative,no warning,B,2,5
s51114,Quantitative,no warning,B,3,2
s51114,Quantitative,no warning,B,4,4
s51114,Quantitative,no warning,B,5,4
s51114,Quantitative,no warning,B,6,4
s51114,Quantitative,no warning,B,7,5
s51114,Quantitative,no warning,B,8,4
s51114,Quantitative,no warning,B,9,5
s51114,Quantitative,no warning,B,10,4
s51115,Quantitative,warning,A,1,4
s51115,Quantitative,warning,A,2,4
s51115,Quantitative,warning,A,3,4
s51115,Quantitative,warning,A,4,5
s51115,Quantitative,warning,A,5,5
s51115,Quantitative,warning,A,6,5
s51115,Quantitative,warning,A,7,2
s51115,Quantitative,warning,A,8,3
s51115,Quantitative,warning,A,9,2
s51115,Quantitative,warning,A,10,3
s51116,Quantitative,no warning,B,1,5
s51116,Quantitative,no warning,B,2,5
s51116,Quantitative,no warning,B,3,5
s51116,Quantitative,no warning,B,4,4
s51116,Quantitative,no warning,B,5,5
s51116,Quantitative,no warning,B,6,3
s51116,Quantitative,no warning,B,7,6
s51116,Quantitative,no warning,B,8,6
s51116,Quantitative,no warning,B,9,5
s51116,Quantitative,no warning,B,10,4
s51117,Quantitative,warning,A,1,4
s51117,Quantitative,warning,A,2,4
s51117,Quantitative,warning,A,3,3
s51117,Quantitative,warning,A,4,4
s51117,Quantitative,warning,A,5,4
s51117,Quantitative,warning,A,6,5
s51117,Quantitative,warning,A,7,6
s51117,Quantitative,warning,A,8,6
s51117,Quantitative,warning,A,9,6
s51117,Quantitative,warning,A,10,6
s51118,Quantitative,no warning,B,1,3
s51118,Quantitative,no warning,B,2,1
s51118,Quantitative,no warning,B,3,1
s51118,Quantitative,no warning,B,4,1
s51118,Quantitative,no warning,B,5,1
s51118,Quantitative,no warning,B,6,1
s51118,Quantitative,no warning,B,7,1
s51118,Quantitative,no warning,B,8,6
s51118,Quantitative,no warning,B,9,1
s51118,Quantitative,no warning,B,10,4
s51119,Quantitative,warning,A,1,4
s51119,Quantitative,warning,A,2,4
s51119,Quantitative,warning,A,3,3
s51119,Quantitative,warning,A,4,3
s51119,Quantitative,warning,A,5,4
s51119,Quantitative,warning,A,6,5
s51119,Quantitative,warning,A,7,3
s51119,Quantitative,warning,A,8,4
s51119,Quantitative,warning,A,9,4
s51119,Quantitative,warning,A,10,4
s51120,Quantitative,no warning,B,1,2
s51120,Quantitative,no warning,B,2,2
s51120,Quantitative,no warning,B,3,2
s51120,Quantitative,no warning,B,4,2
s51120,Quantitative,no warning,B,5,2
s51120,Quantitative,no warning,B,6,2
s51120,Quantitative,no warning,B,7,4
s51120,Quantitative,no warning,B,8,5
s51120,Quantitative,no warning,B,9,5
s51120,Quantitative,no warning,B,10,5
s51121,Quantitative,warning,A,1,5
s51121,Quantitative,warning,A,2,5
s51121,Quantitative,warning,A,3,5
s51121,Quantitative,warning,A,4,5
s51121,Quantitative,warning,A,5,6
s51121,Quantitative,warning,A,6,6
s51121,Quantitative,warning,A,7,5
s51121,Quantitative,warning,A,8,5
s51121,Quantitative,warning,A,9,5
s51121,Quantitative,warning,A,10,6
s51122,Quantitative,warning,A,1,4
s51122,Quantitative,warning,A,2,3
s51122,Quantitative,warning,A,3,4
s51122,Quantitative,warning,A,4,3
s51122,Quantitative,warning,A,5,3
s51122,Quantitative,warning,A,6,3
s51122,Quantitative,warning,A,7,5
s51122,Quantitative,warning,A,8,4
s51122,Quantitative,warning,A,9,3
s51122,Quantitative,warning,A,10,4
s51123,Quantitative,warning,A,1,6
s51123,Quantitative,warning,A,2,6
s51123,Quantitative,warning,A,3,6
s51123,Quantitative,warning,A,4,6
s51123,Quantitative,warning,A,5,6
s51123,Quantitative,warning,A,6,6
s51123,Quantitative,warning,A,7,6
s51123,Quantitative,warning,A,8,6
s51123,Quantitative,warning,A,9,6
s51123,Quantitative,warning,A,10,6
s51124,Quantitative,no warning,A,1,4
s51124,Quantitative,no warning,A,2,4
s51124,Quantitative,no warning,A,3,4
s51124,Quantitative,no warning,A,4,4
s51124,Quantitative,no warning,A,5,4
s51124,Quantitative,no warning,A,6,2
s51124,Quantitative,no warning,A,7,3
s51124,Quantitative,no warning,A,8,5
s51124,Quantitative,no warning,A,9,3
s51124,Quantitative,no warning,A,10,5
s51125,Quantitative,warning,B,1,6
s51125,Quantitative,warning,B,2,6
s51125,Quantitative,warning,B,3,6
s51125,Quantitative,warning,B,4,6
s51125,Quantitative,warning,B,5,6
s51125,Quantitative,warning,B,6,6
s51125,Quantitative,warning,B,7,6
s51125,Quantitative,warning,B,8,2
s51125,Quantitative,warning,B,9,4
s51125,Quantitative,warning,B,10,6
s51126,Quantitative,no warning,A,1,6
s51126,Quantitative,no warning,A,2,6
s51126,Quantitative,no warning,A,3,5
s51126,Quantitative,no warning,A,4,6
s51126,Quantitative,no warning,A,5,4
s51126,Quantitative,no warning,A,6,5
s51126,Quantitative,no warning,A,7,4
s51126,Quantitative,no warning,A,8,6
s51126,Quantitative,no warning,A,9,2
s51126,Quantitative,no warning,A,10,4
s51127,Quantitative,warning,B,1,6
s51127,Quantitative,warning,B,2,6
s51127,Quantitative,warning,B,3,4
s51127,Quantitative,warning,B,4,5
s51127,Quantitative,warning,B,5,4
s51127,Quantitative,warning,B,6,5
s51127,Quantitative,warning,B,7,5
s51127,Quantitative,warning,B,8,6
s51127,Quantitative,warning,B,9,5
s51127,Quantitative,warning,B,10,5
s51128,Quantitative,no warning,B,1,6
s51128,Quantitative,no warning,B,2,6
s51128,Quantitative,no warning,B,3,6
s51128,Quantitative,no warning,B,4,5
s51128,Quantitative,no warning,B,5,5
s51128,Quantitative,no warning,B,6,5
s51128,Quantitative,no warning,B,7,4
s51128,Quantitative,no warning,B,8,4
s51128,Quantitative,no warning,B,9,4
s51128,Quantitative,no warning,B,10,4
s51129,Quantitative,warning,A,1,4
s51129,Quantitative,warning,A,2,4
s51129,Quantitative,warning,A,3,5
s51129,Quantitative,warning,A,4,4
s51129,Quantitative,warning,A,5,4
s51129,Quantitative,warning,A,6,4
s51129,Quantitative,warning,A,7,5
s51129,Quantitative,warning,A,8,6
s51129,Quantitative,warning,A,9,4
s51129,Quantitative,warning,A,10,6
s51130,Quantitative,no warning,B,1,6
s51130,Quantitative,no warning,B,2,6
s51130,Quantitative,no warning,B,3,6
s51130,Quantitative,no warning,B,4,6
s51130,Quantitative,no warning,B,5,5
s51130,Quantitative,no warning,B,6,5
s51130,Quantitative,no warning,B,7,5
s51130,Quantitative,no warning,B,8,5
s51130,Quantitative,no warning,B,9,5
s51130,Quantitative,no warning,B,10,2
s51131,Quantitative,no warning,A,1,5
s51131,Quantitative,no warning,A,2,5
s51131,Quantitative,no warning,A,3,5
s51131,Quantitative,no warning,A,4,5
s51131,Quantitative,no warning,A,5,5
s51131,Quantitative,no warning,A,6,5
s51131,Quantitative,no warning,A,7,4
s51131,Quantitative,no warning,A,8,5
s51131,Quantitative,no warning,A,9,4
s51131,Quantitative,no warning,A,10,5
s51132,Quantitative,warning,A,1,5
s51132,Quantitative,warning,A,2,5
s51132,Quantitative,warning,A,3,5
s51132,Quantitative,warning,A,4,5
s51132,Quantitative,warning,A,5,4
s51132,Quantitative,warning,A,6,6
s51132,Quantitative,warning,A,7,5
s51132,Quantitative,warning,A,8,6
s51132,Quantitative,warning,A,9,5
s51132,Quantitative,warning,A,10,5
s51133,Quantitative,no warning,B,1,6
s51133,Quantitative,no warning,B,2,6
s51133,Quantitative,no warning,B,3,6
s51133,Quantitative,no warning,B,4,6
s51133,Quantitative,no warning,B,5,6
s51133,Quantitative,no warning,B,6,6
s51133,Quantitative,no warning,B,7,6
s51133,Quantitative,no warning,B,8,5
s51133,Quantitative,no warning,B,9,5
s51133,Quantitative,no warning,B,10,6
s51134,Quantitative,no warning,A,1,4
s51134,Quantitative,no warning,A,2,3
s51134,Quantitative,no warning,A,3,4
s51134,Quantitative,no warning,A,4,5
s51134,Quantitative,no warning,A,5,5
s51134,Quantitative,no warning,A,6,3
s51134,Quantitative,no warning,A,7,3
s51134,Quantitative,no warning,A,8,5
s51134,Quantitative,no warning,A,9,2
s51134,Quantitative,no warning,A,10,4
s51135,Quantitative,warning,B,1,5
s51135,Quantitative,warning,B,2,4
s51135,Quantitative,warning,B,3,3
s51135,Quantitative,warning,B,4,4
s51135,Quantitative,warning,B,5,5
s51135,Quantitative,warning,B,6,1
s51135,Quantitative,warning,B,7,4
s51135,Quantitative,warning,B,8,4
s51135,Quantitative,warning,B,9,4
s51135,Quantitative,warning,B,10,5
s51136,Quantitative,warning,B,1,4
s51136,Quantitative,warning,B,2,6
s51136,Quantitative,warning,B,3,2
s51136,Quantitative,warning,B,4,2
s51136,Quantitative,warning,B,5,3
s51136,Quantitative,warning,B,6,4
s51136,Quantitative,warning,B,7,5
s51136,Quantitative,warning,B,8,5
s51136,Quantitative,warning,B,9,5
s51136,Quantitative,warning,B,10,4
s51137,Quantitative,no warning,A,1,6
s51137,Quantitative,no warning,A,2,6
s51137,Quantitative,no warning,A,3,6
s51137,Quantitative,no warning,A,4,6
s51137,Quantitative,no warning,A,5,6
s51137,Quantitative,no warning,A,6,5
s51137,Quantitative,no warning,A,7,4
s51137,Quantitative,no warning,A,8,6
s51137,Quantitative,no warning,A,9,6
s51137,Quantitative,no warning,A,10,4
s51138,Quantitative,warning,A,1,5
s51138,Quantitative,warning,A,2,5
s51138,Quantitative,warning,A,3,4
s51138,Quantitative,warning,A,4,5
s51138,Quantitative,warning,A,5,5
s51138,Quantitative,warning,A,6,5
s51138,Quantitative,warning,A,7,5
s51138,Quantitative,warning,A,8,4
s51138,Quantitative,warning,A,9,3
s51138,Quantitative,warning,A,10,5
s51139,Quantitative,warning,B,1,6
s51139,Quantitative,warning,B,2,6
s51139,Quantitative,warning,B,3,4
s51139,Quantitative,warning,B,4,4
s51139,Quantitative,warning,B,5,5
s51139,Quantitative,warning,B,6,5
s51139,Quantitative,warning,B,7,1
s51139,Quantitative,warning,B,8,4
s51139,Quantitative,warning,B,9,3
s51139,Quantitative,warning,B,10,4
s51140,Quantitative,no warning,A,1,4
s51140,Quantitative,no warning,A,2,5
s51140,Quantitative,no warning,A,3,5
s51140,Quantitative,no warning,A,4,4
s51140,Quantitative,no warning,A,5,5
s51140,Quantitative,no warning,A,6,5
s51140,Quantitative,no warning,A,7,4
s51140,Quantitative,no warning,A,8,5
s51140,Quantitative,no warning,A,9,4
s51140,Quantitative,no warning,A,10,4
s51141,Quantitative,warning,A,1,6
s51141,Quantitative,warning,A,2,6
s51141,Quantitative,warning,A,3,4
s51141,Quantitative,warning,A,4,4
s51141,Quantitative,warning,A,5,4
s51141,Quantitative,warning,A,6,2
s51141,Quantitative,warning,A,7,6
s51141,Quantitative,warning,A,8,6
s51141,Quantitative,warning,A,9,4
s51141,Quantitative,warning,A,10,5
s51142,Quantitative,warning,A,1,5
s51142,Quantitative,warning,A,2,5
s51142,Quantitative,warning,A,3,5
s51142,Quantitative,warning,A,4,5
s51142,Quantitative,warning,A,5,5
s51142,Quantitative,warning,A,6,4
s51142,Quantitative,warning,A,7,4
s51142,Quantitative,warning,A,8,6
s51142,Quantitative,warning,A,9,6
s51142,Quantitative,warning,A,10,6
s51143,Quantitative,warning,B,1,4
s51143,Quantitative,warning,B,2,4
s51143,Quantitative,warning,B,3,4
s51143,Quantitative,warning,B,4,4
s51143,Quantitative,warning,B,5,5
s51143,Quantitative,warning,B,6,4
s51143,Quantitative,warning,B,7,3
s51143,Quantitative,warning,B,8,5
s51143,Quantitative,warning,B,9,3
s51143,Quantitative,warning,B,10,4
s51144,Quantitative,no warning,B,1,5
